date,GME,"0.0:Complaints/Comments of other users (shills, trolls, etc.)",0.0:Crime/Nefarious Use of Stock Market,0.0:Data Posts/Nonsense,"0.0:Diamond Hands, Apes Vs. Hedge Funds ","0.0:MOD Posts, Many Links","0.0:New Post Links, Other Links",0.0:Press Releases/News,0.0:Short Squeeze by Holding Stock,0.0:Trading Accounts,0.0:Trading/Shorting GME,2.0:Crime/Nefarious Use of Stock Market,"2.0:Diamond Hands, Apes Vs. Hedge Funds ",2.0:Press Releases/News,"3.0:Complaints/Comments of other users (shills, trolls, etc.)",3.0:Crime/Nefarious Use of Stock Market,3.0:Data Posts/Nonsense,"3.0:Diamond Hands, Apes Vs. Hedge Funds ","3.0:MOD Posts, Many Links","3.0:New Post Links, Other Links",3.0:Press Releases/News,3.0:Short Squeeze by Holding Stock,3.0:Trading Accounts,3.0:Trading/Shorting GME,"5.0:Complaints/Comments of other users (shills, trolls, etc.)",5.0:Crime/Nefarious Use of Stock Market,5.0:Data Posts/Nonsense,"5.0:Diamond Hands, Apes Vs. Hedge Funds ","5.0:MOD Posts, Many Links","5.0:New Post Links, Other Links",5.0:Press Releases/News,5.0:Short Squeeze by Holding Stock,5.0:Trading Accounts,5.0:Trading/Shorting GME,"6.0:Complaints/Comments of other users (shills, trolls, etc.)",6.0:Crime/Nefarious Use of Stock Market,6.0:Data Posts/Nonsense,"6.0:Diamond Hands, Apes Vs. Hedge Funds ","6.0:MOD Posts, Many Links","6.0:New Post Links, Other Links",6.0:Press Releases/News,6.0:Short Squeeze by Holding Stock,6.0:Trading Accounts,6.0:Trading/Shorting GME,"7.0:Complaints/Comments of other users (shills, trolls, etc.)",7.0:Crime/Nefarious Use of Stock Market,7.0:Data Posts/Nonsense,"7.0:Diamond Hands, Apes Vs. Hedge Funds ","7.0:MOD Posts, Many Links","7.0:New Post Links, Other Links",7.0:Press Releases/News,7.0:Short Squeeze by Holding Stock,7.0:Trading Accounts,7.0:Trading/Shorting GME,all
2021-02-12,13.100000381469728,30.0,19.0,12.0,84.0,17.0,15.0,10.0,23.0,8.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,4.0,0.0,2.0,2.0,6.0,0.0,3.0,21.0,7.0,9.0,49.0,5.0,10.0,9.0,11.0,6.0,17.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,427.0
2021-02-13,13.100000381469728,36.0,9.0,3.0,31.0,6.0,3.0,3.0,7.0,8.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,3.0,1.0,2.0,1.0,3.0,0.0,0.0,23.0,5.0,1.0,20.0,10.0,1.0,3.0,3.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.0
2021-02-14,13.100000381469728,23.0,14.0,3.0,29.0,5.0,5.0,5.0,2.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,17.0,4.0,2.0,23.0,8.0,2.0,5.0,4.0,4.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0
2021-02-15,13.100000381469728,23.0,6.0,4.0,30.0,3.0,6.0,5.0,7.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,4.0,0.0,0.0,0.0,3.0,2.0,2.0,14.0,7.0,4.0,12.0,6.0,3.0,5.0,5.0,2.0,11.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,185.0
2021-02-16,12.3774995803833,18.0,4.0,2.0,15.0,5.0,2.0,3.0,8.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,1.0,2.0,2.0,1.0,0.0,2.0,13.0,1.0,3.0,10.0,6.0,5.0,2.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,134.0
2021-02-17,11.484999656677246,13.0,12.0,1.0,33.0,4.0,4.0,9.0,5.0,4.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,11.0,4.0,2.0,15.0,6.0,11.0,8.0,4.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0
2021-02-18,10.172499656677246,164.0,75.0,8.0,134.0,40.0,26.0,41.0,32.0,21.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,11.0,5.0,1.0,8.0,1.0,1.0,2.0,7.0,0.0,2.0,79.0,49.0,5.0,91.0,30.0,18.0,22.0,21.0,16.0,20.0,4.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,991.0
2021-02-19,10.147500038146973,74.0,27.0,16.0,119.0,22.0,25.0,23.0,14.0,23.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,6.0,2.0,12.0,3.0,1.0,2.0,10.0,1.0,5.0,31.0,21.0,6.0,85.0,19.0,12.0,10.0,4.0,14.0,26.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,681.0
2021-02-20,10.147500038146973,43.0,21.0,4.0,48.0,15.0,9.0,9.0,15.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,3.0,1.0,12.0,2.0,1.0,0.0,5.0,1.0,1.0,26.0,11.0,4.0,36.0,4.0,6.0,7.0,12.0,7.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,351.0
2021-02-21,10.147500038146973,30.0,6.0,0.0,53.0,20.0,8.0,6.0,8.0,8.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0,6.0,4.0,0.0,2.0,3.0,0.0,1.0,16.0,9.0,1.0,31.0,7.0,9.0,6.0,7.0,12.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,287.0
2021-02-22,11.5,49.0,18.0,19.0,105.0,20.0,11.0,5.0,26.0,11.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,2.0,6.0,4.0,1.0,1.0,2.0,0.0,5.0,22.0,8.0,5.0,63.0,10.0,10.0,7.0,14.0,11.0,14.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,501.0
2021-02-23,11.24250030517578,55.0,16.0,10.0,90.0,19.0,12.0,23.0,22.0,15.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0,2.0,8.0,3.0,1.0,2.0,3.0,2.0,10.0,23.0,8.0,4.0,60.0,11.0,9.0,14.0,10.0,8.0,23.0,0.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,527.0
2021-02-24,22.927499771118164,75.0,17.0,31.0,351.0,50.0,35.0,43.0,49.0,35.0,95.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0,5.0,3.0,25.0,6.0,2.0,6.0,7.0,4.0,10.0,42.0,17.0,15.0,207.0,18.0,21.0,23.0,20.0,12.0,38.0,3.0,2.0,1.0,6.0,0.0,0.0,1.0,1.0,2.0,0.0,1288.0
